route_id,stop_sequence,stop_name,community,node_id,stop_lat,stop_lon,location_type,location_precision
bus:16,4,Salmo,Salmo,salmo,49.193333,-117.278611,town,community centroid
bus:16,5,Creston,Creston,creston,49.0975,-116.513056,town,community centroid
bus:16,6,Cranbrook,Cranbrook,cranbrook,49.508056,-115.746944,town,community centroid
bus:16,7,Fernie,Fernie,fernie,49.504167,-115.062778,town,community centroid
bus:16,8,Sparwood,Sparwood,sparwood,49.733218,-114.884368,town,community centroid
bus:17,1,Trail (A&W 1136 Bay Ave),Trail,trail,49.0965,-117.7105,town,stop
bus:17,2,Nelson (Visitor Centre),Nelson,nelson,49.49047,-117.29541,town,stop
bus:17,3,Castlegar (A&W 1982 Columbia Ave),Castlegar,castlegar,49.324444,-117.666944,airport,stop
bus:17,4,Grand Forks (CANCO Gas),Grand Forks,grand-forks,49.031111,-118.439167,town,community centroid
bus:17,5,Greenwood (CANCO Gas),Greenwood,greenwood,49.088333,-118.676389,town,community centroid
bus:17,6,Midway (AFD Gas),Midway,midway,49.0103,-118.7753,town,stop
bus:17,7,Rock Creek (Centex Gas),Rock Creek,rock-creek,49.05669,-118.998657,town,community centroid
bus:17,8,Kelowna (Orchard Park Mall),Kelowna,kelowna-downtown,49.88713,-119.49494,town,stop
bus:2,1,Pacific Central Station,Vancouver,pacific-central-station,49.27314,-123.10044,town,stop
bus:2,2,Surrey,Surrey,surrey,49.191634,-122.850061,town,community centroid
bus:2,3,Abbotsford,Abbotsford,abbotsford,49.049808,-122.284595,town,community centroid
bus:2,4,Chilliwack,Chilliwack,chilliwack,49.157778,-121.950833,town,community centroid
bus:2,5,Hope,Hope,hope,49.38,-121.441389,town,community centroid
bus:2,6,Merritt,Merritt,merritt,50.1125,-120.788333,town,community centroid
bus:2,7,Kamloops,Kamloops,kamloops,50.675833,-120.339444,town,community centroid
bus:3,1,Kamloops,Kamloops,kamloops,50.675833,-120.339444,town,community centroid
bus:3,2,Chase,Chase,chase,50.819167,-119.686111,town,community centroid
bus:3,3,Sorrento,Sorrento,sorrento,50.876944,-119.466944,town,community centroid
bus:3,4,Salmon Arm,Salmon Arm,salmon-arm,50.699846,-119.267891,town,community centroid
bus:3,5,Enderby,Enderby,enderby,50.550556,-119.139444,town,community centroid
bus:3,6,Armstrong,Armstrong,armstrong,50.448333,-119.196667,town,community centroid
bus:3,7,Vernon,Vernon,vernon,50.26453,-119.27129,town,stop
bus:3,8,Kelowna Airport,Kelowna,ylw,49.9561,-119.3778,airport,stop
bus:3,9,Kelowna Downtown,Kelowna,kelowna-downtown,49.88713,-119.49494,town,stop
bus:4,1,Kelowna Downtown,Kelowna,kelowna-downtown,49.88713,-119.49494,town,stop
bus:4,2,Kelowna Airport,Kelowna,ylw,49.9561,-119.3778,airport,stop
bus:4,3,Vernon,Vernon,vernon,50.26453,-119.27129,town,stop
bus:4,4,Armstrong,Armstrong,armstrong,50.448333,-119.196667,town,community centroid
bus:4,5,Enderby,Enderby,enderby,50.550556,-119.139444,town,community centroid
bus:4,6,Salmon Arm,Salmon Arm,salmon-arm,50.699846,-119.267891,town,community centroid
bus:4,7,Sicamous,Sicamous,sicamous,50.836111,-118.98,town,community centroid
bus:4,8,Revelstoke,Revelstoke,revelstoke,50.998175,-118.19605,town,community centroid
bus:4,9,Golden,Golden,golden,51.297778,-116.964722,town,community centroid
bus:5,1,Kamloops,Kamloops,kamloops,50.675833,-120.339444,town,community centroid
bus:5,2,Savona,Savona,savona,50.752992,-120.842675,town,community centroid
bus:5,3,Cache Creek,Cache Creek,cache-creek,50.811944,-121.323333,town,community centroid
bus:5,4,Clinton,Clinton,clinton,51.091667,-121.586667,town,community centroid
bus:5,5,70 Mile House,70 Mile House,70-mile-house,51.303971,-121.396414,town,community centroid
bus:5,6,100 Mile House,100 Mile House,100-mile-house,51.642778,-121.295556,town,community centroid
bus:5,7,Lac La Hache,Lac La Hache,lac-la-hache,51.799832,-121.484644,town,community centroid
bus:5,8,Williams Lake,Williams Lake,williams-lake,52.129167,-122.14,town,community centroid
bus:5,9,Quesnel,Quesnel,quesnel,52.97897,-122.49628,town,stop
bus:5,10,Hixon,Hixon,hixon,53.40678,-122.573619,town,community centroid
bus:5,11,Prince George,Prince George,prince-george,53.9137,-122.74808,town,stop
bus:6,1,Adventure Centre,Squamish,adventure-centre,49.707,-123.146,dock,stop
bus:6,2,London Drugs / Garibaldi,Squamish,squamish,49.7387,-123.1333,town,stop
bus:6,3,Sea to Sky Gondola,Squamish,sea-to-sky-gondola,49.6752,-123.157,dock,stop
bus:6,4,Britannia Mine Museum,Britannia Beach,britannia-mine-museum,49.6237,-123.205,dock,stop
bus:6,5,Horseshoe Bay Ferry Terminal,Horseshoe Bay,horseshoe-bay,49.37105,-123.280676,town,community centroid
bus:6,6,Park Royal / Taylor Way,West Vancouver,west-vancouver,49.327,-123.13857,dock,stop
bus:6,7,Waterfront Station,Vancouver,waterfront,49.28591,-123.11151,town,stop
bus:7,1,Pacific Central Station,Vancouver,pacific-central-station,49.27314,-123.10044,town,stop
bus:7,2,Surrey,Surrey,surrey,49.191634,-122.850061,town,community centroid
bus:7,3,Abbotsford,Abbotsford,abbotsford,49.049808,-122.284595,town,community centroid
bus:7,4,Chilliwack,Chilliwack,chilliwack,49.157778,-121.950833,town,community centroid
bus:7,5,Hope,Hope,hope,49.38,-121.441389,town,community centroid
bus:7,6,Merritt,Merritt,merritt,50.1125,-120.788333,town,community centroid
bus:7,7,Kamloops,Kamloops,kamloops,50.675833,-120.339444,town,community centroid
bus:7,8,Chase,Chase,chase,50.819167,-119.686111,town,community centroid
bus:7,9,Sorrento,Sorrento,sorrento,50.876944,-119.466944,town,community centroid
bus:7,10,Salmon Arm,Salmon Arm,salmon-arm,50.699846,-119.267891,town,community centroid
bus:7,11,Sicamous,Sicamous,sicamous,50.836111,-118.98,town,community centroid
bus:7,12,Revelstoke,Revelstoke,revelstoke,50.998175,-118.19605,town,community centroid
bus:7,13,Golden,Golden,golden,51.297778,-116.964722,town,community centroid
bus:7,14,Field,Field,field,51.395833,-116.488333,town,community centroid
bus:8,1,Vancouver Airport (YVR),Vancouver,yvr,49.1945,-123.18386,airport,stop
bus:8,2,Downtown Vancouver,Vancouver,downtown-vancouver,49.286,-123.1207,dock,stop
bus:8,3,Adventure Centre,Squamish,adventure-centre,49.707,-123.146,dock,stop
bus:8,4,Creekside,Whistler,creekside,50.0945,-122.9915,dock,stop
bus:8,5,Gateway Loop / Village,Whistler,whistler,50.1158,-122.9563,town,stop
bus:9,1,Langdale Ferry Terminal,Langdale,langdale,49.433374,-123.478405,town,community centroid
bus:9,2,Gibsons,Gibsons,gibsons,49.400278,-123.508889,town,community centroid
bus:9,3,Sechelt,Sechelt,sechelt,49.47235,-123.75953,town,stop
bus:9,4,Halfmoon Bay,Halfmoon Bay,halfmoon-bay,49.51308,-123.91704,town,community centroid
bus:9,5,Secret Cove,Secret Cove,secret-cove,49.533124,-123.951326,town,community centroid
bus:9,6,Madeira Park,Madeira Park,madeira-park,49.6205,-124.02326,town,community centroid
bus:9,7,Pender Harbour,Pender Harbour,pender-harbour,49.6225,-124.0253,town,stop
bus:9,8,Ruby Lake,Ruby Lake,ruby-lake,49.7122,-123.9676,town,stop
bus:9,9,Earls Cove Ferry Terminal,Earls Cove,earls-cove,49.751944,-124.009167,town,community centroid
bus:9,10,Saltery Bay,Saltery Bay,saltery-bay,49.783235,-124.179075,town,community centroid
bus:9,11,Powell River,Powell River,powell-river,49.835556,-124.524444,town,community centroid
bus:bcfc-vic-van,1,Downtown Vancouver,Vancouver,downtown-vancouver,49.286,-123.1207,dock,stop
bus:bcfc-vic-van,2,Tsawwassen Ferry Terminal,Tsawwassen (Metro Vancouver),tsawwassen,49.008056,-123.128333,town,community centroid
bus:bcfc-vic-van,3,Swartz Bay Ferry Terminal,Victoria (Vancouver Island),swartz-bay,48.6886,-123.4114,dock,stop
bus:bcfc-vic-van,4,Downtown Victoria,Victoria,victoria,48.42771,-123.36446,town,stop
bus:bcn-16w,1,Prince George,Prince George,prince-george,53.9137,-122.74808,town,stop
bus:bcn-16w,2,Vanderhoof,Vanderhoof,vanderhoof,54.01495,-124.0089,town,stop
bus:bcn-16w,3,Fort Fraser,Fort Fraser,fort-fraser,54.06187,-124.552566,town,community centroid
bus:bcn-16w,4,Fraser Lake,Fraser Lake,fraser-lake,54.060278,-124.843889,town,community centroid
bus:bcn-16w,5,Burns Lake,Burns Lake,burns-lake,54.230278,-125.764444,town,community centroid
bus:bcn-16w,6,Topley,Topley,topley,54.50441,-126.2979,town,community centroid
bus:bcn-16w,7,Houston,Houston,houston,54.398333,-126.648333,town,community centroid
bus:bcn-16w,8,Telkwa,Telkwa,telkwa,54.696667,-127.050833,town,community centroid
bus:bcn-16w,9,Smithers,Smithers,smithers,54.779167,-127.176111,town,community centroid
bus:bcn-16w,10,Witset,Witset,witset,55.0086,-127.3386,town,stop
bus:bcn-16w,11,New Hazelton,New Hazelton,new-hazelton,55.243333,-127.586944,town,community centroid
bus:bcn-16w,12,Gitsegukla,Gitsegukla,gitsegukla,55.1064,-127.9711,town,stop
bus:bcn-16w,13,Kitwanga Junction,Kitwanga Junction,kitwanga-junction,55.1044,-128.0561,town,stop
bus:bcn-16w,14,Terrace,Terrace,terrace,54.51701,-128.59612,town,stop
bus:bcn-16w,15,Port Edward,Port Edward,port-edward,54.220556,-130.289444,town,community centroid
bus:bcn-16w,16,Prince Rupert,Prince Rupert,prince-rupert,54.312778,-130.325278,town,community centroid
