from_community,from_id,to_community,to_id,crow_km,bike_reachable,bike_reachable_without_flying,n_options,n_options_with_bike,n_options_without_flying,boardings,modes,operators,journey_km,schedule_cautions,everyday_option_exists,recommended_summary,recommended_boardings,recommended_modes,recommended_operators,recommended_journey_km,recommended_schedule_cautions
Abbotsford,abbotsford,Alert Bay,alert-bay,375,TRUE,FALSE,6,6,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, city bus, then ferry.",7,local-bus; skytrain; ferry; local-bus; rental-car; local-bus; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited
Abbotsford,abbotsford,Armstrong,armstrong,271,TRUE,TRUE,6,6,5,2,bus; bus,Ebus,334.0,,TRUE,"Coach bus, then coach bus.",2,bus; bus,Ebus,334.0,
Abbotsford,abbotsford,Barkerville,barkerville,450,TRUE,TRUE,1,1,1,3,bus; bus; local-bus,Ebus; BC Transit,653.1,limited,FALSE,"Coach bus, coach bus, then city bus.",3,bus; bus; local-bus,Ebus; BC Transit,653.1,limited
Abbotsford,abbotsford,Bella Bella,bella-bella,539,TRUE,FALSE,7,7,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, then ferry.",6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,seasonal
Abbotsford,abbotsford,Bella Coola,bella-coola,485,TRUE,FALSE,7,7,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, then ferry.",6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,seasonal
Abbotsford,abbotsford,Bowen Island,bowen-island,84,TRUE,TRUE,7,7,7,3,bus; local-bus; ferry,Rider Express; TransLink; BC Ferries,87.7,,TRUE,"Coach bus, city bus, then ferry.",3,bus; local-bus; ferry,Rider Express; TransLink; BC Ferries,87.7,
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,101,TRUE,TRUE,12,12,12,4,bus; skytrain; local-bus; ferry,Mountain Man Mike's; TransLink; BC Ferries,,limited,TRUE,"City bus, SkyTrain, city bus, then ferry.",4,local-bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,Burnaby,burnaby,56,TRUE,TRUE,6,6,6,1,bus,BC Transit,58.0,,TRUE,"One city bus, straight through.",1,local-bus,BC Transit,58.4,
Abbotsford,abbotsford,Burns Lake,burns-lake,624,TRUE,TRUE,7,7,6,3,bus; bus; intercity-train,Ebus; VIA Rail,892.7,limited,FALSE,"Coach bus, coach bus, then train.",3,bus; bus; intercity-train,Ebus; VIA Rail,892.7,limited
Abbotsford,abbotsford,"Calgary, AB",calgary,627,TRUE,TRUE,2,2,1,1,bus,Ebus,728.9,,TRUE,"One coach bus, straight through.",1,bus,Ebus,728.9,
Abbotsford,abbotsford,Campbell River,campbell-river,239,TRUE,FALSE,8,5,0,,,,,,,"City bus, SkyTrain, ferry, city bus, then rental car.",5,local-bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,
Abbotsford,abbotsford,Castlegar,castlegar,337,TRUE,TRUE,1,1,1,1,bus,Mountain Man Mike's,412.7,limited,FALSE,"One coach bus, straight through.",1,bus,Mountain Man Mike's,412.7,limited
Abbotsford,abbotsford,Chase,chase,271,TRUE,TRUE,1,1,1,1,bus,Ebus,297.3,,TRUE,"One coach bus, straight through.",1,bus,Ebus,297.3,
Abbotsford,abbotsford,Chilliwack,chilliwack,27,TRUE,TRUE,2,2,2,1,bus,Ebus,27.2,,TRUE,"One city bus, straight through.",1,local-bus,BC Transit,40.9,
Abbotsford,abbotsford,Clearwater,clearwater,330,TRUE,TRUE,1,1,1,2,bus; local-bus,Ebus; BC Transit,352.6,limited,FALSE,"Coach bus, then city bus.",2,bus; local-bus,Ebus; BC Transit,352.6,limited
Abbotsford,abbotsford,Comox,comox,204,TRUE,TRUE,8,5,2,5,local-bus; skytrain; ferry; carpool; local-bus,BC Transit; TransLink; Hullo; Poparide,,on-demand,TRUE,"City bus, SkyTrain, ferry, city bus, then rental car.",5,local-bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,
Abbotsford,abbotsford,Coquitlam,coquitlam,45,TRUE,TRUE,6,6,6,2,bus; skytrain,Mountain Man Mike's; TransLink,,limited,TRUE,"City bus, then SkyTrain.",2,local-bus; skytrain,BC Transit; TransLink,,
Abbotsford,abbotsford,Cortes Island,cortes-island,225,TRUE,TRUE,10,6,1,7,bus; local-bus; ferry; bus; local-bus; water-taxi; water-taxi,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector; BC Transit; Lund Water Taxi; Qaya Way West Transportation,254.9,limited; seasonal,FALSE,"City bus, SkyTrain, ferry, city bus, rental car, then water taxi.",6,local-bus; skytrain; ferry; local-bus; rental-car; water-taxi,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); Qaya Way West Transportation,,seasonal
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,204,TRUE,TRUE,9,6,3,4,bus; skytrain; ferry; carpool,BC Transit; TransLink; Hullo; Poparide,,on-demand,TRUE,"City bus, SkyTrain, ferry, then carpool.",4,local-bus; skytrain; ferry; carpool,BC Transit; TransLink; Hullo; Poparide,,on-demand
Abbotsford,abbotsford,Cranbrook,cranbrook,477,TRUE,TRUE,3,3,2,2,bus; bus,Mountain Man Mike's,607.4,limited,FALSE,"Coach bus, then coach bus.",2,bus; bus,Mountain Man Mike's,607.4,limited
Abbotsford,abbotsford,Creston,creston,420,TRUE,TRUE,3,3,2,2,bus; bus,Mountain Man Mike's,535.4,limited,FALSE,"Coach bus, then coach bus.",2,bus; bus,Mountain Man Mike's,535.4,limited
Abbotsford,abbotsford,Cumberland,cumberland,209,TRUE,TRUE,10,7,5,5,bus; skytrain; ferry; carpool; local-bus,BC Transit; TransLink; Hullo; Poparide,,on-demand,FALSE,"City bus, SkyTrain, ferry, carpool, then city bus.",5,local-bus; skytrain; ferry; carpool; local-bus,BC Transit; TransLink; Hullo; Poparide,,on-demand
Abbotsford,abbotsford,Delta,delta,58,TRUE,TRUE,6,6,6,3,bus; skytrain; local-bus,Mountain Man Mike's; TransLink,,limited,TRUE,"City bus, SkyTrain, then city bus.",3,local-bus; skytrain; local-bus,BC Transit; TransLink,,
Abbotsford,abbotsford,Denman Island,denman-island,192,TRUE,TRUE,10,7,5,6,bus; skytrain; ferry; carpool; local-bus; ferry,BC Transit; TransLink; Hullo; Poparide; BC Ferries,,on-demand,FALSE,"City bus, SkyTrain, ferry, carpool, city bus, then ferry.",6,local-bus; skytrain; ferry; carpool; local-bus; ferry,BC Transit; TransLink; Hullo; Poparide; BC Ferries,,on-demand
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,108,TRUE,TRUE,13,13,13,4,bus; skytrain; ferry; local-bus,Mountain Man Mike's; TransLink; Hullo; BC Transit,,limited,TRUE,"City bus, SkyTrain, ferry, then city bus.",4,local-bus; skytrain; ferry; local-bus,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,Enderby,enderby,281,TRUE,TRUE,6,6,5,2,bus; local-bus,Rider Express; BC Transit,344.7,limited,TRUE,"Coach bus, then coach bus.",2,bus; bus,Ebus,344.8,
Abbotsford,abbotsford,Fernie,fernie,526,TRUE,TRUE,3,3,2,2,bus; bus,Mountain Man Mike's,657.0,limited,FALSE,"Coach bus, then coach bus.",2,bus; bus,Mountain Man Mike's,657.0,limited
Abbotsford,abbotsford,Field,field,488,TRUE,TRUE,1,1,1,1,bus,Rider Express,536.3,,TRUE,"One coach bus, straight through.",1,bus,Rider Express,536.3,
Abbotsford,abbotsford,Gabriola Island,gabriola-island,115,TRUE,TRUE,7,7,7,4,bus; skytrain; ferry; ferry,Mountain Man Mike's; TransLink; Hullo; BC Ferries,,limited,TRUE,"City bus, SkyTrain, ferry, then ferry.",4,local-bus; skytrain; ferry; ferry,BC Transit; TransLink; Hullo; BC Ferries,,
Abbotsford,abbotsford,Galiano Island,galiano-island,78,TRUE,TRUE,7,7,7,4,bus; skytrain; local-bus; ferry,Mountain Man Mike's; TransLink; BC Ferries,,limited,TRUE,"City bus, SkyTrain, city bus, then ferry.",4,local-bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,Gibsons,gibsons,97,TRUE,TRUE,7,7,7,3,bus; local-bus; ferry,Rider Express; TransLink; BC Ferries,104.2,,TRUE,"Coach bus, city bus, then ferry.",3,bus; local-bus; ferry,Rider Express; TransLink; BC Ferries,104.2,
Abbotsford,abbotsford,Golden,golden,454,TRUE,TRUE,1,1,1,1,bus,Ebus,513.8,,TRUE,"One coach bus, straight through.",1,bus,Ebus,513.8,
Abbotsford,abbotsford,Haida Gwaii,haida-gwaii,822,TRUE,TRUE,10,10,5,4,bus; bus; intercity-train; ferry,Ebus; VIA Rail; BC Ferries,1443.5,limited,FALSE,"Coach bus, coach bus, train, then ferry.",4,bus; bus; intercity-train; ferry,Ebus; VIA Rail; BC Ferries,1443.5,limited
Abbotsford,abbotsford,Harrison Hot Springs,harrison-hot-springs,46,TRUE,TRUE,2,2,2,2,bus; local-bus,BC Transit,47.8,,TRUE,"City bus, then city bus.",2,local-bus; local-bus,BC Transit,58.9,
Abbotsford,abbotsford,Hope,hope,71,TRUE,TRUE,1,1,1,1,bus,Ebus,71.8,,TRUE,"One coach bus, straight through.",1,bus,Ebus,71.8,
Abbotsford,abbotsford,Hornby Island,hornby-island,183,TRUE,TRUE,9,6,4,7,bus; skytrain; ferry; carpool; local-bus; ferry; ferry,BC Transit; TransLink; Hullo; Poparide; BC Ferries,,on-demand,FALSE,"City bus, SkyTrain, ferry, carpool, city bus, ferry, then ferry.",7,local-bus; skytrain; ferry; carpool; local-bus; ferry; ferry,BC Transit; TransLink; Hullo; Poparide; BC Ferries,,on-demand
Abbotsford,abbotsford,Houston,houston,666,TRUE,TRUE,7,7,6,3,bus; bus; intercity-train,Ebus; VIA Rail,953.0,limited,FALSE,"Coach bus, coach bus, then train.",3,bus; bus; intercity-train,Ebus; VIA Rail,953.0,limited
Abbotsford,abbotsford,Kamloops,kamloops,228,TRUE,TRUE,1,1,1,1,bus,Ebus,236.2,,TRUE,"One coach bus, straight through.",1,bus,Ebus,236.2,
Abbotsford,abbotsford,Kaslo,kaslo,400,TRUE,TRUE,1,1,1,1,bus,Mountain Man Mike's,505.5,limited,FALSE,"One coach bus, straight through.",1,bus,Mountain Man Mike's,505.5,limited
Abbotsford,abbotsford,Kelowna,kelowna,222,TRUE,TRUE,1,1,1,1,bus,Ebus,266.3,,TRUE,"One coach bus, straight through.",1,bus,Ebus,266.3,
Abbotsford,abbotsford,Keremeos,keremeos,179,TRUE,TRUE,2,2,2,1,bus,Mountain Man Mike's,235.8,limited,FALSE,"One coach bus, straight through.",1,bus,Mountain Man Mike's,235.8,limited
Abbotsford,abbotsford,Kimberley,kimberley,460,TRUE,TRUE,3,3,2,3,bus; bus; local-bus,Mountain Man Mike's; BC Transit,634.9,limited,FALSE,"Coach bus, coach bus, then city bus.",3,bus; bus; local-bus,Mountain Man Mike's; BC Transit,634.9,limited
Abbotsford,abbotsford,Ladysmith,ladysmith,112,TRUE,TRUE,8,8,8,4,bus; skytrain; ferry; local-bus,Mountain Man Mike's; TransLink; Hullo; BC Transit,,limited,TRUE,"City bus, SkyTrain, ferry, then city bus.",4,local-bus; skytrain; ferry; local-bus,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,Lake Cowichan,lake-cowichan,132,TRUE,TRUE,13,13,13,5,bus; skytrain; ferry; local-bus; local-bus,Mountain Man Mike's; TransLink; Hullo; BC Transit,,limited,TRUE,"City bus, SkyTrain, ferry, city bus, then city bus.",5,local-bus; skytrain; ferry; local-bus; local-bus,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,Langford,langford,112,TRUE,TRUE,8,8,8,5,bus; skytrain; local-bus; bus; local-bus,BC Transit; TransLink; Wilson's Transportation (BC Connector),,,TRUE,"City bus, SkyTrain, ferry, city bus, then city bus.",5,local-bus; skytrain; ferry; local-bus; local-bus,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,Langley,langley,28,TRUE,TRUE,2,2,2,1,bus,BC Transit,36.4,,TRUE,"One city bus, straight through.",1,local-bus,BC Transit,36.8,
Abbotsford,abbotsford,Lund,lund,207,TRUE,TRUE,5,5,5,5,bus; local-bus; ferry; bus; local-bus,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector; BC Transit,229.8,limited; seasonal,FALSE,"Coach bus, city bus, ferry, coach bus, then city bus.",5,bus; local-bus; ferry; bus; local-bus,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector; BC Transit,229.8,limited; seasonal
Abbotsford,abbotsford,Maple Ridge,maple-ridge,29,TRUE,TRUE,9,9,9,2,local-bus; local-train,BC Transit; TransLink (West Coast Express),32.0,limited,TRUE,"City bus, SkyTrain, then city bus.",3,local-bus; skytrain; local-bus,BC Transit; TransLink,,
Abbotsford,abbotsford,Mayne Island,mayne-island,79,TRUE,TRUE,7,7,7,4,bus; skytrain; local-bus; ferry,Mountain Man Mike's; TransLink; BC Ferries,,limited,TRUE,"City bus, SkyTrain, city bus, then ferry.",4,local-bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,Merritt,merritt,160,TRUE,TRUE,1,1,1,1,bus,Ebus,165.8,,TRUE,"One coach bus, straight through.",1,bus,Ebus,165.8,
Abbotsford,abbotsford,Mill Bay,mill-bay,103,TRUE,TRUE,8,8,8,5,local-bus; skytrain; local-bus; ferry; ferry,BC Transit; TransLink; BC Ferries,,,TRUE,"City bus, SkyTrain, ferry, city bus, then city bus.",5,local-bus; skytrain; ferry; local-bus; local-bus,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,Mission,mission,10,TRUE,TRUE,1,1,1,1,local-bus,BC Transit,10.0,,TRUE,"One city bus, straight through.",1,local-bus,BC Transit,10.0,
Abbotsford,abbotsford,Nanaimo,nanaimo,121,TRUE,TRUE,11,11,11,3,bus; skytrain; ferry,Mountain Man Mike's; TransLink; Hullo,,limited,TRUE,"City bus, SkyTrain, then ferry.",3,local-bus; skytrain; ferry,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,Nelson,nelson,365,TRUE,TRUE,2,2,1,1,bus,Mountain Man Mike's,445.4,limited,FALSE,"One coach bus, straight through.",1,bus,Mountain Man Mike's,445.4,limited
Abbotsford,abbotsford,New Hazelton,new-hazelton,777,TRUE,TRUE,7,7,6,3,bus; bus; intercity-train,Ebus; VIA Rail,1065.5,limited,FALSE,"Coach bus, coach bus, then train.",3,bus; bus; intercity-train,Ebus; VIA Rail,1065.5,limited
Abbotsford,abbotsford,New Westminster,new-westminster,49,TRUE,TRUE,6,6,6,1,bus,Mountain Man Mike's,49.5,limited,TRUE,"City bus, then SkyTrain.",2,local-bus; skytrain,BC Transit; TransLink,,
Abbotsford,abbotsford,North Cowichan (Chemainus & Crofton),north-cowichan,106,TRUE,TRUE,14,14,14,5,bus; skytrain; ferry; local-bus; local-bus,BC Transit; TransLink; Hullo,,,TRUE,"City bus, SkyTrain, ferry, city bus, then city bus.",5,local-bus; skytrain; ferry; local-bus; local-bus,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,North Vancouver,north-vancouver,65,TRUE,TRUE,9,9,9,3,bus; skytrain; ferry,Mountain Man Mike's; TransLink; TransLink (SeaBus),,limited,TRUE,"City bus, SkyTrain, then SeaBus.",3,local-bus; skytrain; ferry,BC Transit; TransLink; TransLink (SeaBus),,
Abbotsford,abbotsford,Ocean Falls,ocean-falls,529,TRUE,FALSE,7,7,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, then ferry.",6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,seasonal
Abbotsford,abbotsford,Oliver,oliver,199,TRUE,TRUE,2,2,2,2,bus; local-bus,Mountain Man Mike's; BC Transit,286.0,limited,FALSE,"Coach bus, then city bus.",2,bus; local-bus,Mountain Man Mike's; BC Transit,286.0,limited
Abbotsford,abbotsford,Osoyoos,osoyoos,205,TRUE,TRUE,2,2,2,1,bus,Mountain Man Mike's,268.5,limited,FALSE,"One coach bus, straight through.",1,bus,Mountain Man Mike's,268.5,limited
Abbotsford,abbotsford,Parksville,parksville,153,TRUE,TRUE,8,8,8,5,bus; skytrain; ferry; local-bus; local-bus,Mountain Man Mike's; TransLink; Hullo; BC Transit,,limited,TRUE,"City bus, SkyTrain, ferry, city bus, then city bus.",5,local-bus; skytrain; ferry; local-bus; local-bus,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,Pemberton,pemberton,146,TRUE,TRUE,7,7,7,3,bus; carpool; local-bus,Rider Express; Poparide; BC Transit,186.4,on-demand,FALSE,"City bus, SkyTrain, coach bus, then city bus.",4,local-bus; skytrain; bus; local-bus,BC Transit; TransLink; YVR Skylynx,,seasonal
Abbotsford,abbotsford,Pender Island,pender-island,80,TRUE,TRUE,7,7,7,4,bus; skytrain; local-bus; ferry,Mountain Man Mike's; TransLink; BC Ferries,,limited,TRUE,"City bus, SkyTrain, city bus, then ferry.",4,local-bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,Penelakut Island,penelakut-island,101,TRUE,TRUE,11,11,11,7,bus; skytrain; ferry; local-bus; local-bus; local-bus; ferry,Mountain Man Mike's; TransLink; Hullo; BC Transit; BC Ferries,,limited,FALSE,"City bus, SkyTrain, ferry, city bus, city bus, city bus, then ferry.",7,local-bus; skytrain; ferry; local-bus; local-bus; local-bus; ferry,BC Transit; TransLink; Hullo; BC Ferries,,limited
Abbotsford,abbotsford,Penticton,penticton,200,TRUE,TRUE,3,3,3,2,bus; local-bus,Mountain Man Mike's; BC Transit,272.3,limited,FALSE,"Coach bus, then city bus.",2,bus; local-bus,Ebus; BC Transit,297.1,limited
Abbotsford,abbotsford,Port Alberni,port-alberni,185,TRUE,TRUE,13,10,4,4,bus; skytrain; ferry; carpool,BC Transit; TransLink; Hullo; Poparide,,on-demand,FALSE,"City bus, SkyTrain, ferry, then rental car.",4,local-bus; skytrain; ferry; rental-car,BC Transit; TransLink; Hullo; Budget,,
Abbotsford,abbotsford,Port Coquitlam,port-coquitlam,41,TRUE,TRUE,5,5,5,2,local-bus; local-train,BC Transit; TransLink (West Coast Express),45.5,limited,FALSE,"City bus, then train.",2,local-bus; local-train,BC Transit; TransLink (West Coast Express),45.5,limited
Abbotsford,abbotsford,Port Hardy,port-hardy,417,TRUE,FALSE,7,7,0,,,,,,,"City bus, SkyTrain, ferry, city bus, then rental car.",5,local-bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,
Abbotsford,abbotsford,Port McNeill,port-mcneill,384,TRUE,FALSE,7,7,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, then city bus.",6,local-bus; skytrain; ferry; local-bus; rental-car; local-bus,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,limited
Abbotsford,abbotsford,Port Moody,port-moody,48,TRUE,TRUE,6,6,6,2,bus; skytrain,Mountain Man Mike's; TransLink,,limited,TRUE,"City bus, then SkyTrain.",2,local-bus; skytrain,BC Transit; TransLink,,
Abbotsford,abbotsford,Port Renfrew,port-renfrew,164,FALSE,FALSE,3,0,0,,,,,,,,,,,,
Abbotsford,abbotsford,Powell River,powell-river,184,TRUE,TRUE,5,5,5,4,bus; local-bus; ferry; bus,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector,205.4,,TRUE,"Coach bus, city bus, ferry, then coach bus.",4,bus; local-bus; ferry; bus,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector,205.4,
Abbotsford,abbotsford,Prince George,prince-george,542,TRUE,TRUE,2,2,1,2,bus; bus,Ebus,692.4,limited,FALSE,"Coach bus, then coach bus.",2,bus; bus,Ebus,692.4,limited
Abbotsford,abbotsford,Prince Rupert,prince-rupert,805,TRUE,TRUE,10,10,5,3,bus; bus; intercity-train,Ebus; VIA Rail,1283.4,limited,FALSE,"Coach bus, coach bus, then train.",3,bus; bus; intercity-train,Ebus; VIA Rail,1283.4,limited
Abbotsford,abbotsford,Princeton,princeton,137,TRUE,TRUE,2,2,2,1,bus,Mountain Man Mike's,179.3,limited,FALSE,"One coach bus, straight through.",1,bus,Mountain Man Mike's,179.3,limited
Abbotsford,abbotsford,Quadra Island,quadra-island,239,TRUE,FALSE,9,6,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, then ferry.",6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,
Abbotsford,abbotsford,Qualicum Beach,qualicum-beach,161,TRUE,TRUE,8,8,8,5,bus; skytrain; ferry; local-bus; local-bus,Mountain Man Mike's; TransLink; Hullo; BC Transit,,limited,TRUE,"City bus, SkyTrain, ferry, city bus, then city bus.",5,local-bus; skytrain; ferry; local-bus; local-bus,BC Transit; TransLink; Hullo,,
Abbotsford,abbotsford,Quesnel,quesnel,437,TRUE,TRUE,2,2,1,2,bus; bus,Ebus,586.6,limited,FALSE,"Coach bus, then coach bus.",2,bus; bus,Ebus,586.6,limited
Abbotsford,abbotsford,Revelstoke,revelstoke,364,TRUE,TRUE,2,2,1,1,bus,Ebus,421.5,,TRUE,"One coach bus, straight through.",1,bus,Ebus,421.5,
Abbotsford,abbotsford,Richmond,richmond,63,TRUE,TRUE,6,6,6,2,bus; skytrain,Mountain Man Mike's; TransLink,,limited,TRUE,"City bus, then SkyTrain.",2,local-bus; skytrain,BC Transit; TransLink,,
Abbotsford,abbotsford,Rossland,rossland,327,TRUE,TRUE,1,1,1,3,bus; local-bus; local-bus,Mountain Man Mike's; BC Transit,446.7,limited,FALSE,"Coach bus, city bus, then city bus.",3,bus; local-bus; local-bus,Mountain Man Mike's; BC Transit,446.7,limited
Abbotsford,abbotsford,Saanich,saanich,104,TRUE,TRUE,11,11,11,4,bus; skytrain; local-bus; bus,BC Transit; TransLink; Wilson's Transportation (BC Connector),,,TRUE,"City bus, SkyTrain, city bus, ferry, then city bus.",5,local-bus; skytrain; local-bus; ferry; local-bus,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,Salmo,salmo,365,TRUE,TRUE,2,2,2,2,bus; local-bus,Mountain Man Mike's; BC Transit,478.4,limited,FALSE,"Coach bus, then city bus.",2,bus; local-bus,Mountain Man Mike's; BC Transit,478.4,limited
Abbotsford,abbotsford,Salmon Arm,salmon-arm,284,TRUE,TRUE,2,2,1,1,bus,Ebus,338.2,,TRUE,"One coach bus, straight through.",1,bus,Ebus,338.2,
Abbotsford,abbotsford,Salt Spring Island,salt-spring-island,91,TRUE,TRUE,10,10,10,4,bus; skytrain; local-bus; ferry,Mountain Man Mike's; TransLink; BC Ferries,,limited,TRUE,"City bus, SkyTrain, city bus, then ferry.",4,local-bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,Saturna Island,saturna-island,73,TRUE,TRUE,7,7,7,4,bus; skytrain; local-bus; ferry,Mountain Man Mike's; TransLink; BC Ferries,,limited,TRUE,"City bus, SkyTrain, city bus, then ferry.",4,local-bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,"Seattle, WA",seattle,161,TRUE,TRUE,12,12,11,2,bus; bus,Ebus; Quick Shuttle (Quick Coach Lines / TRAXX),227.9,seasonal,TRUE,"City bus, SkyTrain, then train.",3,local-bus; skytrain; intercity-train,BC Transit; TransLink; Amtrak Cascades,,
Abbotsford,abbotsford,Sechelt,sechelt,117,TRUE,TRUE,5,5,5,4,bus; local-bus; ferry; bus,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector,124.1,,TRUE,"Coach bus, city bus, ferry, then coach bus.",4,bus; local-bus; ferry; bus,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector,124.1,
Abbotsford,abbotsford,Shearwater,shearwater,535,TRUE,FALSE,7,7,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, then ferry.",6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,seasonal
Abbotsford,abbotsford,Sicamous,sicamous,309,TRUE,TRUE,2,2,1,1,bus,Ebus,363.6,,TRUE,"One coach bus, straight through.",1,bus,Ebus,363.6,
Abbotsford,abbotsford,Smithers,smithers,720,TRUE,TRUE,7,7,6,3,bus; bus; intercity-train,Ebus; VIA Rail,1007.5,limited,FALSE,"Coach bus, coach bus, then train.",3,bus; bus; intercity-train,Ebus; VIA Rail,1007.5,limited
Abbotsford,abbotsford,Sointula,sointula,382,TRUE,FALSE,6,6,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, city bus, then ferry.",7,local-bus; skytrain; ferry; local-bus; rental-car; local-bus; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited
Abbotsford,abbotsford,Sooke,sooke,130,TRUE,TRUE,9,9,9,5,bus; skytrain; local-bus; bus; local-bus,BC Transit; TransLink; Wilson's Transportation (BC Connector),,,TRUE,"City bus, SkyTrain, city bus, ferry, city bus, then city bus.",6,local-bus; skytrain; local-bus; ferry; local-bus; local-bus,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,Sorrento,sorrento,286,TRUE,TRUE,1,1,1,1,bus,Ebus,314.0,,TRUE,"One coach bus, straight through.",1,bus,Ebus,314.0,
Abbotsford,abbotsford,Sparwood,sparwood,541,TRUE,TRUE,3,3,2,2,bus; bus,Mountain Man Mike's,685.5,limited,FALSE,"Coach bus, then coach bus.",2,bus; bus,Mountain Man Mike's,685.5,limited
Abbotsford,abbotsford,Squamish,squamish,98,TRUE,TRUE,12,12,12,3,bus; skytrain; bus,Mountain Man Mike's; TransLink; Squamish Connector,,limited; seasonal,FALSE,"City bus, SkyTrain, then coach bus.",3,local-bus; skytrain; bus,BC Transit; TransLink; Squamish Connector,,seasonal
Abbotsford,abbotsford,Summerland,summerland,199,TRUE,TRUE,3,3,3,2,bus; local-bus,Ebus; BC Transit,279.9,limited,FALSE,"Coach bus, then city bus.",2,bus; local-bus,Ebus; BC Transit,279.9,limited
Abbotsford,abbotsford,Surrey,surrey,44,TRUE,TRUE,6,6,6,1,bus,Ebus,44.2,,TRUE,"City bus, then SkyTrain.",2,local-bus; skytrain,BC Transit; TransLink,,
Abbotsford,abbotsford,Terrace,terrace,746,TRUE,TRUE,7,7,6,3,bus; bus; intercity-train,Ebus; VIA Rail,1169.2,limited,FALSE,"Coach bus, coach bus, then train.",3,bus; bus; intercity-train,Ebus; VIA Rail,1169.2,limited
Abbotsford,abbotsford,Texada Island,texada-island,188,TRUE,TRUE,3,3,3,5,bus; local-bus; ferry; bus; ferry,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector,213.9,,TRUE,"Coach bus, city bus, ferry, coach bus, then ferry.",5,bus; local-bus; ferry; bus; ferry,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector,213.9,
