from_community,from_id,to_community,to_id,crow_km,bike_reachable,bike_reachable_without_flying,n_options,n_options_with_bike,n_options_without_flying,boardings,modes,operators,journey_km,schedule_cautions,everyday_option_exists,recommended_summary,recommended_boardings,recommended_modes,recommended_operators,recommended_journey_km,recommended_schedule_cautions
Maple Ridge,maple-ridge,Terrace,terrace,719,TRUE,TRUE,8,8,7,4,local-bus; skytrain; intercity-train; intercity-train,TransLink; VIA Rail,,limited,FALSE,"City bus, SkyTrain, train, then train.",4,local-bus; skytrain; intercity-train; intercity-train,TransLink; VIA Rail,,limited
Maple Ridge,maple-ridge,Texada Island,texada-island,160,TRUE,TRUE,9,7,6,5,local-train; bus; ferry; bus; ferry,TransLink (West Coast Express); Squamish Connector; BC Ferries; Sunshine Coast Connector,187.6,limited; seasonal,TRUE,"Train, coach bus, ferry, coach bus, then ferry.",5,local-train; bus; ferry; bus; ferry,TransLink (West Coast Express); Squamish Connector; BC Ferries; Sunshine Coast Connector,187.6,limited; seasonal
Maple Ridge,maple-ridge,Thetis Island,thetis-island,83,TRUE,TRUE,6,6,5,6,local-train; ferry; local-bus; local-bus; local-bus; ferry,TransLink (West Coast Express); Hullo; BC Transit; BC Ferries,191.8,limited,FALSE,"City bus, SkyTrain, ferry, city bus, city bus, city bus, then ferry.",7,local-bus; skytrain; ferry; local-bus; local-bus; local-bus; ferry,TransLink; Hullo; BC Transit; BC Ferries,,limited
Maple Ridge,maple-ridge,Tofino,tofino,240,TRUE,TRUE,6,4,3,3,local-train; ferry; carpool,TransLink (West Coast Express); Hullo; Poparide,247.8,limited; on-demand,FALSE,"City bus, SkyTrain, ferry, then carpool.",4,local-bus; skytrain; ferry; carpool,TransLink; Hullo; Poparide,,on-demand
Maple Ridge,maple-ridge,Trail,trail,356,TRUE,TRUE,9,5,4,4,local-train; local-bus; bus; local-bus,TransLink (West Coast Express); BC Transit; Mountain Man Mike's,471.9,limited,FALSE,"City bus, SkyTrain, coach bus, then city bus.",4,local-bus; skytrain; bus; local-bus,TransLink; Mountain Man Mike's; BC Transit,,limited
Maple Ridge,maple-ridge,Ucluelet,ucluelet,217,TRUE,TRUE,6,4,3,3,local-train; ferry; carpool,TransLink (West Coast Express); Hullo; Poparide,224.2,limited; on-demand,FALSE,"City bus, SkyTrain, ferry, then carpool.",4,local-bus; skytrain; ferry; carpool,TransLink; Hullo; Poparide,,on-demand
Maple Ridge,maple-ridge,Vancouver,vancouver,38,TRUE,TRUE,3,3,3,1,local-train,TransLink (West Coast Express),44.1,limited,TRUE,"City bus, then SkyTrain.",2,local-bus; skytrain,TransLink,,
Maple Ridge,maple-ridge,Vanderhoof,vanderhoof,543,TRUE,TRUE,9,9,8,4,local-bus; skytrain; intercity-train; intercity-train,TransLink; VIA Rail,,limited,FALSE,"City bus, SkyTrain, coach bus, coach bus, then city bus.",5,local-bus; skytrain; bus; bus; local-bus,TransLink; Ebus; BC Transit,,limited
Maple Ridge,maple-ridge,Vernon,vernon,266,TRUE,TRUE,15,15,14,4,local-bus; local-bus; bus; bus,TransLink; BC Transit; Ebus,346.4,limited,TRUE,"City bus, SkyTrain, coach bus, city bus, then city bus.",5,local-bus; skytrain; bus; local-bus; local-bus,TransLink; Ebus; BC Transit,,
Maple Ridge,maple-ridge,Victoria,victoria,104,TRUE,TRUE,10,10,9,4,local-bus; skytrain; local-bus; bus,TransLink; Wilson's Transportation (BC Connector),,,TRUE,"City bus, SkyTrain, city bus, ferry, then city bus.",5,local-bus; skytrain; local-bus; ferry; local-bus,TransLink; BC Ferries; BC Transit,,
